 N   , fold ,   FillX    ,  a   ,   RDSUM   ,   RSSUM   
8192 , 3    , rand       , 1000 , 4.216e-06 , 2.108e-06 
8192 , 3    , half_range , 1000 , 4.216e-06 , 2.108e-06 

 N   , fold ,   FillX    ,  a   ,   RDSUM   ,   RSSUM   
8192 , 3    , rand       , 1000 , 6.583e-06 , 4.103e-06 
8192 , 3    , half_range , 1000 , 6.819e-06 , 4.337e-06 

 N   , fold , FillX  ,   DSUM    ,   RDSUM   
64   , 3    , normal , 4.706e-09 , 3.294e-08 
128  , 3    , normal , 9.412e-09 , 6.588e-08 
256  , 3    , normal , 1.882e-08 , 1.318e-07 
512  , 3    , normal , 3.765e-08 , 2.635e-07 
1024 , 3    , normal , 7.529e-08 , 5.271e-07 
2048 , 3    , normal , 1.506e-07 , 1.054e-06 
4096 , 3    , normal , 3.012e-07 , 2.108e-06 

 N   , fold , FillX  ,   DSUM    ,   RDSUM   
64   , 3    , normal , 4.762e-08 , 1.636e-07 
128  , 3    , normal , 1.044e-07 , 2.105e-07 
256  , 3    , normal , 2.176e-07 , 3.091e-07 
512  , 3    , normal , 4.444e-07 , 5.135e-07 
1024 , 3    , normal , 8.972e-07 , 9.014e-07 
2048 , 3    , normal , 1.803e-06 , 1.681e-06 
4096 , 3    , normal , 3.618e-06 , 3.308e-06 

 N   , fold , FillX  , FillY  ,   DDOT    ,   RDDOT   
64   , 3    , normal , normal , 4.706e-09 , 3.294e-08 
128  , 3    , normal , normal , 9.412e-09 , 6.588e-08 
256  , 3    , normal , normal , 1.882e-08 , 1.318e-07 
512  , 3    , normal , normal , 3.765e-08 , 2.635e-07 
1024 , 3    , normal , normal , 7.529e-08 , 5.271e-07 
2048 , 3    , normal , normal , 1.506e-07 , 1.054e-06 
4096 , 3    , normal , normal , 3.012e-07 , 2.108e-06 

 N   , fold , FillX  , FillY  ,   DDOT    ,   RDDOT   
64   , 3    , normal , normal , 3.456e-08 , 1.912e-07 
128  , 3    , normal , normal , 4.769e-08 , 2.376e-07 
256  , 3    , normal , normal , 7.320e-08 , 3.340e-07 
512  , 3    , normal , normal , 1.235e-07 , 5.403e-07 
1024 , 3    , normal , normal , 2.256e-07 , 9.402e-07 
2048 , 3    , normal , normal , 4.570e-07 , 1.826e-06 
4096 , 3    , normal , normal , 1.185e-06 , 3.935e-06 

 ('N', 'M')  , TransA  , fold , FillA  ,  FillX   ,  FillY   , a ,   DGEMV   ,  RDGEMV   
(64, 64)     , NoTrans , 3    , normal , constant , constant , 0 , 3.012e-07 , 2.108e-06 
(128, 128)   , NoTrans , 3    , normal , constant , constant , 0 , 1.205e-06 , 8.433e-06 
(256, 256)   , NoTrans , 3    , normal , constant , constant , 0 , 4.819e-06 , 3.373e-05 
(512, 512)   , NoTrans , 3    , normal , constant , constant , 0 , 1.928e-05 , 1.349e-04 
(1024, 1024) , NoTrans , 3    , normal , constant , constant , 0 , 7.710e-05 , 5.397e-04 
(2048, 2048) , NoTrans , 3    , normal , constant , constant , 0 , 3.084e-04 , 2.159e-03 
(4096, 4096) , NoTrans , 3    , normal , constant , constant , 0 , 1.234e-03 , 8.635e-03 

 ('N', 'M')  , TransA  , fold , FillA  ,  FillX   ,  FillY   ,  a  ,   DGEMV   ,  RDGEMV   
(64, 64)     , NoTrans , 3    , normal , constant , constant , 100 , 8.209e-06 , 1.845e-05 
(128, 128)   , NoTrans , 3    , normal , constant , constant , 100 , 9.224e-06 , 5.449e-05 
(256, 256)   , NoTrans , 3    , normal , constant , constant , 100 , 2.228e-05 , 1.719e-04 
(512, 512)   , NoTrans , 3    , normal , constant , constant , 100 , 7.648e-05 , 6.655e-04 
(1024, 1024) , NoTrans , 3    , normal , constant , constant , 100 , 3.624e-04 , 2.813e-03 
(2048, 2048) , NoTrans , 3    , normal , constant , constant , 100 , 2.122e-03 , 1.263e-02 
(4096, 4096) , NoTrans , 3    , normal , constant , constant , 100 , 8.656e-03 , 5.023e-02 

 ('N', 'M')  , TransA , fold , FillA  ,  FillB   ,  FillC   , a ,   DGEMV   ,  RDGEMV   
(64, 64)     , Trans  , 3    , normal , constant , constant , 0 , 3.012e-07 , 2.108e-06 
(128, 128)   , Trans  , 3    , normal , constant , constant , 0 , 1.205e-06 , 8.433e-06 
(256, 256)   , Trans  , 3    , normal , constant , constant , 0 , 4.819e-06 , 3.373e-05 
(512, 512)   , Trans  , 3    , normal , constant , constant , 0 , 1.928e-05 , 1.349e-04 
(1024, 1024) , Trans  , 3    , normal , constant , constant , 0 , 7.710e-05 , 5.397e-04 
(2048, 2048) , Trans  , 3    , normal , constant , constant , 0 , 3.084e-04 , 2.159e-03 
(4096, 4096) , Trans  , 3    , normal , constant , constant , 0 , 1.234e-03 , 8.635e-03 

 ('N', 'M')  , TransA , fold , FillA  ,  FillB   ,  FillC   ,  a  ,   DGEMV   ,  RDGEMV   
